Match,Home Team,Away Team,Home Goals,Away Goals,Home Conceded,Away Conceded,Home Result,Away Result,Season
7,Fulham,Chelsea,0,2,2,0,L,W,23/24
2,Luton,Burnley,1,2,2,1,L,W,23/24
8,Luton,Tottenham,0,1,1,0,L,W,23/24
8,Fulham,Sheffield United,3,1,1,3,W,L,23/24
8,Burnley,Chelsea,1,4,4,1,L,W,23/24
8,Man United,Brentford,2,1,1,2,W,L,23/24
8,Everton,Bournemouth,3,0,0,3,W,L,23/24
8,Crystal Palace,Nottm Forest,0,0,0,0,D,D,23/24
8,Brighton,Liverpool,2,2,2,2,D,D,23/24
8,West Ham,Newcastle,2,2,2,2,D,D,23/24
8,Wolves,Aston Villa,1,1,1,1,D,D,23/24
8,Arsenal,Man City,1,0,0,1,W,L,23/24
9,Liverpool,Everton,2,0,0,2,W,L,23/24
9,Brentford,Burnley,3,0,0,3,W,L,23/24
9,Bournemouth,Wolves,1,2,2,1,L,W,23/24
9,Nottm Forest,Luton,2,2,2,2,D,D,23/24
9,Man City,Brighton,2,1,1,2,W,L,23/24
9,Newcastle,Crystal Palace,4,0,0,4,W,L,23/24
9,Chelsea,Arsenal,2,2,2,2,D,D,23/24
9,Sheffield United,Man United,1,2,2,1,L,W,23/24
9,Aston Villa,West Ham,4,1,1,4,W,L,23/24
9,Tottenham,Fulham,2,0,0,2,W,L,23/24
10,Crystal Palace,Tottenham,1,2,2,1,L,W,23/24
10,Chelsea,Brentford,0,2,2,0,L,W,23/24
10,Arsenal,Sheffield United,5,0,0,5,W,L,23/24
10,Bournemouth,Burnley,2,1,1,2,W,L,23/24
10,Wolves,Newcastle,2,2,2,2,D,D,23/24
10,West Ham,Everton,0,1,1,0,L,W,23/24
10,Brighton,Fulham,1,1,1,1,D,D,23/24
10,Aston Villa,Luton,3,1,1,3,W,L,23/24
10,Liverpool,Nottm Forest,3,0,0,3,W,L,23/24
10,Man United,Man City,0,3,3,0,L,W,23/24
11,Fulham,Man United,0,1,1,0,L,W,23/24
11,Brentford,West Ham,3,2,2,3,W,L,23/24
11,Man City,Bournemouth,6,1,1,6,W,L,23/24
11,Sheffield United,Wolves,2,1,1,2,W,L,23/24
11,Burnley,Crystal Palace,0,2,2,0,L,W,23/24
11,Everton,Brighton,1,1,1,1,D,D,23/24
11,Newcastle,Arsenal,1,0,0,1,W,L,23/24
11,Nottm Forest,Aston Villa,2,0,0,2,W,L,23/24
11,Luton,Liverpool,1,1,1,1,D,D,23/24
11,Tottenham,Chelsea,1,4,4,1,L,W,23/24
12,Wolves,Tottenham,2,1,1,2,W,L,23/24
12,Man United,Luton,1,0,0,1,W,L,23/24
12,Arsenal,Burnley,3,1,1,3,W,L,23/24
12,Crystal Palace,Everton,2,3,3,2,L,W,23/24
12,Bournemouth,Newcastle,2,0,0,2,W,L,23/24
12,Aston Villa,Fulham,3,1,1,3,W,L,23/24
12,Brighton,Sheffield United,1,1,1,1,D,D,23/24
12,West Ham,Nottm Forest,3,2,2,3,W,L,23/24
12,Liverpool,Brentford,3,0,0,3,W,L,23/24
12,Chelsea,Man City,4,4,4,4,D,D,23/24
13,Man City,Liverpool,1,1,1,1,D,D,23/24
13,Sheffield United,Bournemouth,1,3,3,1,L,W,23/24
13,Nottm Forest,Brighton,2,3,3,2,L,W,23/24
13,Burnley,West Ham,1,2,2,1,L,W,23/24
13,Luton,Crystal Palace,2,1,1,2,W,L,23/24
13,Newcastle,Chelsea,4,1,1,4,W,L,23/24
13,Brentford,Arsenal,0,1,1,0,L,W,23/24
13,Tottenham,Aston Villa,1,2,2,1,L,W,23/24
13,Everton,Man United,0,3,3,0,L,W,23/24
13,Fulham,Wolves,3,2,2,3,W,L,23/24
14,Brentford,Luton,3,1,1,3,W,L,23/24
14,Arsenal,Wolves,2,1,1,2,W,L,23/24
14,Burnley,Sheffield United,5,0,0,5,W,L,23/24
14,Nottm Forest,Everton,0,1,1,0,L,W,23/24
14,Newcastle,Man United,1,0,0,1,W,L,23/24
14,Chelsea,Brighton,3,2,2,3,W,L,23/24
14,Liverpool,Fulham,4,3,3,4,W,L,23/24
14,West Ham,Crystal Palace,1,1,1,1,D,D,23/24
14,Bournemouth,Aston Villa,2,2,2,2,D,D,23/24
14,Man City,Tottenham,3,3,3,3,D,D,23/24
15,Wolves,Burnley,1,0,0,1,W,L,23/24
15,Luton,Arsenal,3,4,4,3,L,W,23/24
15,Sheffield United,Liverpool,0,2,2,0,L,W,23/24
15,Fulham,Nottm Forest,5,0,0,5,W,L,23/24
15,Crystal Palace,Bournemouth,0,2,2,0,L,W,23/24
15,Brighton,Brentford,2,1,1,2,W,L,23/24
15,Man United,Chelsea,2,1,1,2,W,L,23/24
15,Everton,Newcastle,3,0,0,3,W,L,23/24
15,Aston Villa,Man City,1,0,0,1,W,L,23/24
15,Tottenham,West Ham,1,2,2,1,L ,W,23/24
16,Crystal Palace,Liverpool,1,2,2,1,L ,W,23/24
16,Wolves,Nottm Forest,1,1,1,1,D,D,23/24
16,Brighton,Burnley,1,1,1,1,D,D,23/24
16,Sheffield United,Brentford,1,0,0,1,W,L,23/24
16,Man United,Bournemouth,0,3,3,0,L,W,23/24
16,Aston Villa,Arsenal,1,0,0,1,W,L,23/24
16,Luton,Man City,1,2,2,1,L,W,23/24
16,Fulham,West Ham,5,0,0,5,W,L,23/24
16,Everton,Chelsea,2,0,0,2,W,L,23/24
16,Tottenham,Newcastle,4,1,1,4,W,L,23/24
17,Nottm Forest,Tottenham,0,2,2,0,L,W,23/24
17,Chelsea,Sheffield United,2,0,0,2,W,L,23/24
17,Man City,Crystal Palace,2,2,2,2,D,D,23/24
17,Newcastle,Fulham,3,0,0,3,W,L,23/24
17,Burnley,Everton,0,2,2,0,L,W,23/24
17,West Ham,Wolves,3,0,0,3,W,L,23/24
17,Brentford,Aston Villa,1,2,2,1,L,W,23/24
17,Arsenal,Brighton,2,0,0,2,W,L,23/24
17,Liverpool,Man United,0,0,0,0,D,D,23/24
18,Crystal Palace,Brighton,1,1,1,1,D,D,23/24
18,Aston Villa,Sheffield United,1,1,1,1,D,D,23/24
18,West Ham,Man United,2,0,0,2,W,L,23/24
18,Tottenham,Everton,2,1,1,2,W,L,23/24
18,Nottm Forest,Bournemouth,2,3,3,2,L,W,23/24
18,Fulham,Burnley,0,2,2,0,L,W,23/24
18,Luton,Newcastle,1,0,0,1,W,L,23/24
18,Liverpool,Arsenal,1,1,1,1,D,D,23/24
18,Wolves,Chelsea,2,1,1,2,W,L,23/24
19,Newcastle,Nottm Forest,1,3,3,1,L,W,23/24
19,Sheffield United,Luton,2,3,3,2,L,W,23/24
19,Bournemouth,Fulham,3,0,0,3,W,L,23/24
19,Burnley,Liverpool,0,2,2,0,L,W,23/24
19,Man United,Aston Villa,3,2,2,3,W,L,23/24
19,Chelsea,Crystal Palace,2,1,1,2,W,L,23/24
19,Brentford,Wolves,1,4,4,1,L,W,23/24
19,Everton,Man City,1,3,3,1,L,W,23/24
19,Brighton,Tottenham,4,2,2,4,W,L,23/24
19,Arsenal,West Ham,0,2,2,0,L,W,23/24
20,Luton,Chelsea,2,3,3,2,L,W,23/24
20,Crystal Palace,Brentford,3,1,1,3,W,L,23/24
20,Man City,Sheffield United,2,0,0,2,W,L,23/24
20,Aston Villa,Burnley,3,2,2,3,W,L,23/24
20,Wolves,Everton,3,0,0,3,W,L,23/24
20,Nottm Forest,Man United,2,1,1,2,W,L,23/24
20,Fulham,Arsenal,2,1,1,2,W,L,23/24
20,Tottenham,Bournemouth,3,1,1,3,W,L,23/24
20,Liverpool,Newcastle,4,2,2,4,W,L,23/24
20,West Ham,Brighton,0,0,0,0,D,D,23/24
21,Burnley,Luton,1,1,1,1,D,D,23/24
21,Chelsea,Fulham,1,0,0,1,W,L,23/24
21,Newcastle,Man City,2,3,3,2,L,W,23/24
21,Everton,Aston Villa,0,0,0,0,D,D,23/24
21,Man United,Tottenham,2,2,2,2,D,D,23/24
21,Arsenal,Crystal Palace,5,0,0,5,W,L,23/24
21,Brentford,Nottm Forest,3,2,2,3,W,L,23/24
21,Sheffield United,West Ham,2,2,2,2,D,D,23/24
21,Bournemouth,Liverpool,0,4,4,0,L,W,23/24
21,Brighton,Wolves,0,0,0,0,D,D,23/24
22,Nottm Forest,Arsenal,1,2,2,1,L,W,23/24
22,Luton,Brighton,4,0,0,4,W,L,23/24
22,Fulham,Everton,0,0,0,0,D,D,23/24
22,Crystal Palace,Sheffield United,3,2,2,3,W,L,23/24
22,Aston Villa,Newcastle,1,3,3,1,L,W,23/24
22,Man City,Burnley,3,1,1,3,W,L,23/24
22,Tottenham,Brentford,3,2,2,3,W,L,23/24
22,Liverpool,Chelsea,4,1,1,4,W,L,23/24
22,West Ham,Bournemouth,1,1,1,1,D,D,23/24
22,Wolves,Man United,3,4,4,3,L,W,23/24
23,Everton,Tottenham,2,2,2,2,D,D,23/24
23,Brighton,Crystal Palace,4,1,1,4,W,L,23/24
23,Newcastle,Luton,4,4,4,4,D,D,23/24
23,Burnley,Fulham,2,2,2,2,D,D,23/24
23,Sheffield United,Aston Villa,0,5,5,0,L,W,23/24
23,Man United,West Ham,3,0,0,3,W,L,23/24
23,Chelsea,Wolves,2,4,4,2,L,W,23/24
23,Bournemouth,Nottm Forest,1,1,1,1,D,D,23/24
23,Arsenal,Liverpool,3,1,1,3,W,L,23/24
23,Brentford,Man City,1,3,3,1,L,W,23/24
24,Man City,Everton,2,0,0,2,W,L,23/24
24,Wolves,Brentford,0,2,2,0,L,W,23/24
24,Fulham,Bournemouth,3,1,1,3,W,L,23/24
24,Tottenham,Brighton,2,1,1,2,W,L,23/24
24,Luton,Sheffield United,1,3,3,1,L,W,23/24
24,Liverpool,Burnley,3,1,1,3,W,L,23/24
24,Nottm Forest,Newcastle,2,3,3,2,L,W,23/24
24,West Ham,Arsenal,0,6,6,0,L,W,23/24
24,Aston Villa,Man United,1,2,2,1,L,W,23/24
24,Crystal Palace,Chelsea,1,3,3,1,L,W,23/24
25,Brentford,Liverpool,1,4,4,1,L,W,23/24
25,Burnley,Arsenal,0,5,5,0,L,W,23/24
25,Newcastle,Bournemouth,2,2,2,2,D,D,23/24
25,Fulham,Aston Villa,1,2,2,1,L,W,23/24
25,Nottm Forest,West Ham,2,0,0,2,W,L,23/24
25,Tottenham,Wolves,1,2,2,1,L,W,23/24
25,Man City,Chelsea,1,1,1,1,D,D,23/24
25,Sheffield United,Brighton,0,5,5,0,L,W,23/24
25,Luton,Man United,1,2,2,1,L,W,23/24
25,Everton,Crystal Palace,1,1,1,1,D,D,23/24
18,Man City,Brentford,1,0,0,1,W,L,23/24
26,Liverpool,Luton,4,1,1,4,W,L,23/24
26,Crystal Palace,Burnley,3,0,0,3,W,L,23/24
26,Aston Villa,Nottm Forest,4,2,2,4,W,L,23/24
26,Man United,Fulham,1,2,2,1,L,W,23/24
26,Brighton,Everton,1,1,1,1,D,D,23/24
26,Bournemouth,Man City,0,1,1,0,L,W,23/24
26,Arsenal,Newcastle,4,1,1,4,W,L,23/24
26,Wolves,Sheffield United,1,0,0,1,W,L,23/24
26,West Ham,Brentford,4,2,2,4,W,L,23/24
27,Newcastle,Wolves,3,0,0,3,W,L,23/24
27,Tottenham,Crystal Palace,3,1,1,3,W,L,23/24
27,Nottm Forest,Liverpool,0,1,1,0,L,W,23/24
27,Brentford,Chelsea,2,2,2,2,D,D,23/24
27,Everton,West Ham,1,3,3,1,L,W,23/24
27,Fulham,Brighton,3,0,0,3,W,L,23/24
27,Luton,Aston Villa,2,3,3,2,L,W,23/24
27,Burnley,Bournemouth,0,2,2,0,L,W,23/24
27,Man City,Man United,3,1,1,3,W,L,23/24
27,Sheffield United,Arsenal,0,6,6,0,L,W,23/24
28,Man United,Everton,2,0,0,2,W,L,23/24
28,Crystal Palace,Luton,1,1,1,1,D,D,23/24
28,Bournemouth,Sheffield United,2,2,2,2,D,D,23/24
28,Wolves,Fulham,2,1,1,2,W,L,23/24
28,Arsenal,Brentford,2,1,1,2,W,L,23/24
28,Aston Villa,Tottenham,0,4,4,0,L,W,23/24
28,West Ham,Burnley,2,2,2,2,D,D,23/24
28,Brighton,Nottm Forest,1,0,0,1,W,L,23/24
28,Liverpool,Man City,1,1,1,1,D,D,23/24
28,Chelsea,Newcastle,3,2,2,3,W,L,23/24
17,Bournemouth,Luton,4,3,3,4,W,L,23/24
29,Burnley,Brentford,2,1,1,2,W,L,23/24
29,Luton,Nottm Forest,1,1,1,1,D,D,23/24
29,Fulham,Tottenham,3,0,0,3,W,L,23/24
29,West Ham,Aston Villa,1,1,1,1,D,D,23/24
30,Newcastle,West Ham,4,3,3,4,W,L,23/24
30,Chelsea,Burnley,2,2,2,2,D,D,23/24
30,Sheffield United,Fulham,3,3,3,3,D,D,23/24
30,Nottm Forest,Crystal Palace,1,1,1,1,D,D,23/24
30,Bournemouth,Everton,2,1,1,2,W,L,23/24
30,Tottenham,Luton,2,1,1,2,W,L,23/24
30,Aston Villa,Wolves,2,0,0,2,W,L,23/24
30,Brentford,Man United,1,1,1,1,D,D,23/24
30,Liverpool,Brighton,2,1,1,2,W,L,23/24
30,Man City,Arsenal,0,0,0,0,D,D,23/24
31,Newcastle,Everton,1,1,1,1,D,D,23/24
31,Nottm Forest,Fulham,3,1,1,3,W,L,23/24
31,Burnley,Wolves,1,1,1,1,D,D,23/24
31,Bournemouth,Crystal Palace,1,0,0,1,W,L,23/24
31,West Ham,Tottenham,1,1,1,1,D,D,23/24
31,Brentford,Brighton,0,0,0,0,D,D,23/24
31,Arsenal,Luton,2,0,0,2,W,L,23/24
31,Man City,Aston Villa,4,1,1,4,W,L,23/24
31,Liverpool,Sheffield United,3,1,1,3,W,L,23/24
31,Chelsea,Man United,4,3,3,4,W,L,23/24
32,Crystal Palace,Man City,2,4,4,2,L,W,23/24
32,Wolves,West Ham,1,2,2,1,L,W,23/24
32,Everton,Burnley,1,0,0,1,W,L,23/24
32,Aston Villa,Brentford,3,3,3,3,D,D,23/24
32,Fulham,Newcastle,0,1,1,0,L,W,23/24
32,Luton,Bournemouth,2,1,1,2,W,L,23/24
32,Brighton,Arsenal,0,3,3,0,L,W,23/24
32,Man United,Liverpool,2,2,2,2,D,D,23/24
32,Sheffield United,Chelsea,2,2,2,2,D,D,23/24
32,Tottenham,Nottm Forest,3,1,1,3,W,L,23/24
33,Newcastle,Tottenham,4,0,0,4,W,L,23/24
33,Nottm Forest,Wolves,2,2,2,2,D,D,23/24
33,Burnley,Brighton,1,1,1,1,D,D,23/24
33,Brentford,Sheffield United,2,0,0,2,W,L,23/24
33,Man City,Luton,5,1,1,5,W,L,23/24
33,Bournemouth,Man United,2,2,2,2,D,D,23/24
33,Liverpool,Crystal Palace,0,1,1,0,L,W,23/24
33,West Ham,Fulham,0,2,2,0,L,W,23/24
33,Arsenal,Aston Villa,0,2,2,0,L,W,23/24
33,Chelsea,Everton,6,0,0,6,W,L,23/24
34,Luton,Brentford,1,5,5,1,L,W,23/24
34,Sheffield United,Burnley,1,4,4,1,L,W,23/24
34,Wolves,Arsenal,0,2,2,0,L,W,23/24
34,Everton,Nottm Forest,2,0,0,2,W,L,23/24
34,Crystal Palace,West Ham,5,2,2,5,W,L,23/24
34,Aston Villa,Bournemouth,3,1,1,3,W,L,23/24
34,Fulham,Liverpool,1,3,3,1,L,W,23/24
29,Arsenal,Chelsea,5,0,0,5,W,L,23/24
29,Wolves,Bournemouth,0,1,1,0,L,W,23/24
29,Crystal Palace,Newcastle,2,0,0,2,W,L,23/24
29,Man United,Sheffield United,4,2,2,4,W,L,23/24
29,Everton,Liverpool,2,0,0,2,W,L,23/24
29,Brighton,Man City,0,4,4,0,L,W,23/24
35,West Ham,Liverpool,2,2,2,2,D,D,23/24
35,Wolves,Luton,2,1,1,2,W,L,23/24
35,Fulham,Crystal Palace,1,1,1,1,D,D,23/24
35,Newcastle,Sheffield United,5,1,1,5,W,L,23/24
35,Man United,Burnley,1,1,1,1,D,D,23/24
35,Everton,Brentford,1,0,0,1,W,L,23/24
35,Aston Villa,Chelsea,2,2,2,2,D,D,23/24
35,Bournemouth,Brighton,3,0,0,3,W,L,23/24
35,Tottenham,Arsenal,2,3,3,2,L,W,23/24
35,Nottm Forest,Man City,0,2,2,0,L,W,23/24
26,Chelsea,Tottenham,2,0,0,2,W,L,23/24
36,Luton,Everton,1,1,1,1,D,D,23/24
36,Arsenal,Bournemouth,3,0,0,3,W,L,23/24
36,Brentford,Fulham,0,0,0,0,D,D,23/24
36,Burnley,Newcastle,1,4,4,1,L,W,23/24
36,Sheffield United,Nottm Forest,1,3,3,1,L,W,23/24
36,Man City,Wolves,5,1,1,5,W,L,23/24
36,Chelsea,West Ham,5,0,0,5,W,L,23/24
36,Brighton,Aston Villa,1,0,0,1,W,L,23/24
36,Liverpool,Tottenham,4,2,2,4,W,L,23/24
37,Fulham,Man City,0,4,4,0,L,W,23/24
37,Everton,Sheffield United,1,0,0,1,W,L,23/24
37,West Ham,Luton,3,1,1,3,W,L,23/24
37,Bournemouth,Brentford,1,2,2,1,L,W,23/24
37,Wolves,Crystal Palace,1,3,3,1,L,W,23/24
37,Tottenham,Burnley,2,1,1,2,W,L,23/24
37,Newcastle,Brighton,1,1,1,1,D,D,23/24
37,Nottm Forest,Chelsea,2,3,3,2,L,W,23/24
37,Man United,Arsenal,0,1,1,0,L,W,23/24
37,Aston Villa,Liverpool,3,3,3,3,D,D,23/24
38,Liverpool,Wolves,2,0,0,2,W,L,23/24
38,Sheffield United,Tottenham,0,3,3,0,L,W,23/24
38,Luton,Fulham,2,4,4,2,L,W,23/24
38,Brighton,Man United,0,2,2,0,L,W,23/24
38,Man City,West Ham,3,1,1,3,W,L,23/24
38,Arsenal,Everton,2,1,1,2,W,L,23/24
38,Brentford,Newcastle,2,4,4,2,L,W,23/24
38,Crystal Palace,Aston Villa,5,0,0,5,W,L,23/24
38,Burnley,Nottm Forest,1,2,2,1,L,W,23/24
38,Chelsea,Bournemouth,2,1,1,2,W,L,23/24
34,Tottenham,Man City,0,2,2,0,L,W,23/24
34,Brighton,Chelsea,1,2,2,1,L,W,23/24
34,Man United,Newcastle,3,2,2,3,W,L,23/24
1,Man United,Fulham,1,0,0,1,W,L,24/25
1,Ipswich Town,Liverpool,0,2,2,0,L,W,24/25
1,Arsenal,Wolves,2,0,0,2,W,L,24/25
1,Everton,Brighton,0,3,3,0,L,W,24/25
1,Newcastle,Southampton,1,0,0,1,W,L,24/25
1,Nottm Forest,Bournemouth,1,1,1,1,D,D,24/25
1,West Ham,Aston Villa,1,2,2,1,L,W,24/25
1,Brentford,Crystal Palace,2,1,1,2,W,L,24/25
1,Chelsea,Man City,0,2,2,0,L,W,24/25
1,Leicester City,Tottenham,1,1,1,1,D,D,24/25
2,Brighton,Man United,2,1,1,2,L,W,24/25
2,Tottenham,Everton,4,0,0,4,W,L,24/25
2,Crystal Palace,West Ham,0,2,2,0,L,W,24/25
2,Southampton,Nottm Forest,0,1,1,0,L,W,24/25
2,Fulham,Leicester City,2,1,1,2,W,L,24/25
2,Man City,Ipswich Town,4,1,1,4,W,L,24/25
2,Aston Villa,Arsenal,0,2,2,0,L,W,24/25
2,Bournemouth,Newcastle,1,1,1,1,D,D,24/25
2,Wolves,Chelsea,2,6,6,2,L,W,24/25
2,Liverpool,Brentford,2,0,0,2,W,L,24/25
3,Arsenal,Brighton,1,1,1,1,D,D,24/25
3,Nottm Forest,Wolves,1,1,1,1,D,D,24/25
3,Leicester City,Aston Villa,1,2,2,1,L,W,24/25
3,Ipswich Town,Fulham,1,1,1,1,D,D,24/25
3,Brentford,Southampton,3,1,1,3,W,L,24/25
3,Everton,Bournemouth,2,3,3,2,L,W,24/25
3,West Ham,Man City,1,3,3,1,L,W,24/25
3,Chelsea,Crystal Palace,1,1,1,1,D,D,24/25
3,Newcastle,Tottenham,2,1,1,2,W,L,24/25
3,Man United,Liverpool,0,3,3,0,L,W,24/25
4,Southampton,Man United,0,3,3,0,L,W,24/25
4,Liverpool,Nottm Forest,0,1,1,0,L,W,24/25
4,Man City,Brentford,2,1,1,2,W,L,24/25
4,Fulham,West Ham,1,1,1,1,D,D,24/25
4,Crystal Palace,Leicester City,2,2,2,2,D,D,24/25
4,Brighton,Ipswich Town,0,0,0,0,D,D,24/25
4,Aston Villa,Everton,3,2,2,3,W,L,24/25
4,Bournemouth,Chelsea,0,1,1,0,L,W,24/25
4,Tottenham,Arsenal,0,1,1,0,L,W,24/25
4,Wolves,Newcastle,1,2,2,1,L,W,24/25
5,West Ham,Chelsea,0,3,3,0,L,W,24/25
5,Aston Villa,Wolves,3,1,1,3,W,L,24/25
5,Fulham,Newcastle,3,1,1,3,W,L,24/25
5,Southampton,Ipswich Town,1,1,1,1,D,D,24/25
5,Tottenham,Brentford,3,1,1,3,W,L,24/25
5,Leicester City,Everton,1,1,1,1,D,D,24/25
5,Liverpool,Bournemouth,3,0,0,3,W,L,24/25
5,Crystal Palace,Man United,0,0,0,0,D,D,24/25
5,Brighton,Nottm Forest,2,2,2,2,D,D,24/25
5,Man City,Arsenal,2,2,2,2,D,D,24/25
6,Newcastle,Man City,1,1,1,1,D,D,24/25
6,Chelsea,Brighton,4,2,2,4,W,L,24/25
6,Brentford,West Ham,1,1,1,1,D,D,24/25
6,Everton,Crystal Palace,2,1,1,2,W,L,24/25
6,Arsenal,Leicester City,4,2,2,4,W,L,24/25
6,Nottm Forest,Fulham,0,1,1,0,L ,W,24/25
6,Wolves,Liverpool,1,2,2,1,L ,W,24/25
6,Ipswich Town,Aston Villa,2,2,2,2,D,D,24/25
6,Man United,Tottenham,0,3,3,0,L,W,24/25
6,Bournemouth,Southampton,3,1,1,3,W,L,24/25
7,Crystal Palace,Liverpool,0,1,1,0,L,W,24/25
7,Arsenal,Southampton,3,1,1,3,W,L,24/25
7,Brentford,Wolves,5,3,3,5,W,L,24/25
7,Man City,Fulham,3,2,2,3,W,L,24/25
7,West Ham,Ipswich Town,4,1,1,4,W,L,24/25
7,Leicester City,Bournemouth,1,0,0,1,W,L,24/25
7,Everton,Newcastle,0,0,0,0,D,D,24/25
7,Aston Villa,Man United,0,0,0,0,D,D,24/25
7,Chelsea,Nottm Forest,1,1,1,1,D,D,24/25
7,Brighton,Tottenham,3,2,2,3,W,L,24/25
8,Tottenham,West Ham,4,1,1,4,W,L,24/25
8,Man United,Brentford,2,1,1,2,W,L,24/25
8,Fulham,Aston Villa,1,3,3,1,L,W,24/25
8,Newcastle,Brighton,0,1,1,0,L,W,24/25
8,Southampton,Leicester City,2,3,3,2,L,W,24/25
8,Ipswich Town,Everton,0,2,2,0,L,W,24/25
8,Bournemouth,Arsenal,2,0,0,2,W,L,24/25
8,Wolves,Man City,1,2,2,1,L,W,24/25
8,Liverpool,Chelsea,2,1,1,2,W,L,24/25
8,Nottm Forest,Crystal Palace,1,0,0,1,W,L,24/25
9,Leicester City,Nottm Forest,1,3,3,1,L,W,24/25
9,Man City,Southampton,1,0,0,1,W,L,24/25
9,Brentford,Ipswich Town,4,3,3,4,W,L,24/25
9,Brighton,Wolves,2,2,2,2,D,D,24/25
9,Aston Villa,Bournemouth,1,1,1,1,D,D,24/25
9,Everton,Fulham,1,1,1,1,D,D,24/25
9,Crystal Palace,Tottenham,1,0,0,1,W,L,24/25
9,Chelsea,Newcastle,2,1,1,2,W,L,24/25
9,West Ham,Man United,2,1,1,2,W,L,24/25
9,Arsenal,Liverpool,2,2,2,2,D,D,24/25
